S. No.,State,District,Location,Longitude,Latitude,Year,pH,EC (µS/cm at 25 °C),CO3 (mg/L),HCO3 (mg/L),Cl (mg/L),F (mg/L),SO4 (mg/L),NO3 (mg/L),PO4 (mg/L),Total Hardness (mg/L),Ca (mg/L),Mg (mg/L),Na (mg/L),K (mg/L),Fe (ppm),As (ppb),U (ppb)
166,Uttar Pradesh,Auraiya,Kaba,79.4615,26.8593,2023,7.86,610,0,354,7,0.49,22,0,0.00,160,36,17,80,2,0.00,0.00,3.14
167,Uttar Pradesh,Auraiya,Akbarpur,79.3263,26.5078,2023,8.13,975,0,573,21,4.10,23,0,0.00,120,16,19,192,3,0.00,1.08,31.27
168,Uttar Pradesh,Auraiya,Hand Pump Of Block Office In Shadow Of Baniyan Tree.,79.3188,26.5658,2023,7.79,888,0,500,35,1.10,22,0,0.00,280,44,41,96,3,0.00,0.00,15.00
169,Uttar Pradesh,Auraiya,At The Entrance To City From Highway Near Hanuman Temple &,79.5039,26.4661,2023,7.39,1175,0,403,113,0.54,45,85,0.00,400,56,63,83,3,0.00,0.00,16.00
170,Uttar Pradesh,Auraiya,Block Office,79.4978,26.6116,2023,7.81,878,0,488,28,0.61,21,9,0.00,330,36,58,70,3,0.00,0.00,20.00
171,Uttar Pradesh,Auraiya,Bidhuna Block Office,79.5024,26.8025,2023,7.92,1188,0,647,43,0.89,30,9,0.00,400,24,83,112,8,0.37,0.00,19.00
172,Uttar Pradesh,Auraiya,Kashari,79.6081,26.8295,2023,8.06,822,0,464,21,1.20,18,0,0.00,270,36,44,80,5,0.17,0.00,28.46
173,Uttar Pradesh,Auraiya,Ruruganj,79.4543,26.7693,2023,7.88,732,0,427,28,0.74,12,0,0.00,280,36,46,53,6,0.33,0.00,16.06
174,Uttar Pradesh,Auraiya,Asu,79.6381,26.6833,2023,7.98,1262,0,512,35,0.76,123,0,0.00,360,36,66,118,8,0.30,0.00,24.03
175,Uttar Pradesh,Auraiya,Bholapur,79.6892,26.7367,2023,8.10,994,0,561,21,0.77,31,0,0.00,300,28,56,112,6,0.09,1.14,47.86
176,Uttar Pradesh,Auraiya,Gapariyapur,79.5909,26.7211,2023,7.87,965,0,512,28,0.48,51,0,0.00,330,36,58,91,6,0.00,0.00,14.10
177,Uttar Pradesh,Auraiya,Hand Pump Of Block Office,79.6002,26.7585,2023,7.79,958,0,512,35,0.95,23,0,0.00,270,36,44,111,5,0.00,0.00,44.00
178,Uttar Pradesh,Auraiya,Piluaa,79.6023,26.6556,2023,7.70,625,0,378,14,0.68,10,0,0.00,220,32,34,50,3,0.31,0.00,7.51
179,Uttar Pradesh,Auraiya,Purwaudai,79.5615,26.7669,2023,7.80,980,0,476,50,1.00,30,15,0.00,300,36,51,98,5,0.23,0.00,23.46
180,Uttar Pradesh,Auraiya,Ramgarh,79.5173,26.7024,2023,7.87,836,0,464,28,0.94,33,7,0.00,230,36,34,104,3,0.21,0.00,10.17
181,West Bengal,Malda,Pukhuriya,88.0009,25.1179,2023,7.85,684,0,354,35,0.13,10,4,0.00,295,78,24,11,4,6.30,8.94,-
182,West Bengal,Murshidabad,Begunbari Dug,88.2776,23.9210,2023,7.35,2693,0,744,316,0.09,121,56,0.00,530,94,72,163,291,0.00,36.90,-
183,West Bengal,Murshidabad,Mirzapur,88.0686,24.4083,2023,7.74,773,0,281,46,0.26,60,2,0.00,315,70,34,18,2,6.90,124.81,-
184,West Bengal,Murshidabad,Swarupnagar,88.2738,23.9193,2023,7.66,1828,0,482,241,0.19,96,6,0.00,555,90,80,131,3,4.80,63.75,-
185,West Bengal,Murshidabad,Bazar Sou,88.1861,23.8758,2023,7.48,2050,0,378,312,0.05,140,45,0.00,685,120,94,139,11,0.00,0.00,-
186,West Bengal,Murshidabad,Kashipur,88.3012,23.8552,2023,7.86,794,0,329,35,0.26,38,0,0.00,325,62,41,22,3,5.40,27.14,-
187,West Bengal,Murshidabad,Manikyahar,88.2078,23.8232,2023,7.80,1207,0,354,131,0.11,69,0,0.00,325,52,47,94,12,1.80,94.53,-
188,West Bengal,Murshidabad,Saktipur,88.1961,23.8620,2023,7.85,1031,0,409,46,0.24,63,0,0.00,390,64,56,40,1,11.80,1.34,-
189,West Bengal,Murshidabad,Daulatabad,88.3755,24.1428,2023,7.92,780,0,317,43,0.04,55,3,0.00,325,50,49,21,4,7.60,92.14,-
190,West Bengal,Murshidabad,Daulatabad,88.3757,24.1430,2023,7.27,1358,0,348,110,0.03,129,54,0.00,480,90,62,80,5,0.30,32.91,-
191,West Bengal,Murshidabad,Pakamati,88.1876,24.0189,2023,7.98,422,0,207,18,0.38,3,1,0.00,170,40,17,13,1,0.30,43.86,-
192,West Bengal,Murshidabad,Sialmara,88.0919,24.0744,2023,7.83,644,0,287,28,0.18,46,0,0.00,240,40,34,36,2,2.20,1.86,-
193,West Bengal,Murshidabad,Kalokhali,88.2832,24.2940,2023,7.86,471,0,250,18,0.08,1,2,0.00,195,38,24,11,3,3.40,27.96,-
194,West Bengal,Murshidabad,Kashipur,88.3241,24.3175,2023,7.78,712,0,275,21,0.06,68,3,0.00,315,58,41,10,4,0.00,49.52,-
195,West Bengal,Murshidabad,Nasipur,88.3861,24.3069,2023,7.67,967,0,293,71,0.03,87,10,0.00,365,64,50,35,8,9.80,160.24,-
