S. No.,State,District,Location,Longitude,Latitude,Year,pH,EC (µS/cm at 25 °C),CO3 (mg/L),HCO3 (mg/L),Cl (mg/L),F (mg/L),SO4 (mg/L),NO3 (mg/L),PO4 (mg/L),Total Hardness (mg/L),Ca (mg/L),Mg (mg/L),Na (mg/L),K (mg/L),Fe (ppm),As (ppb),U (ppb)
36,Andaman & Nicobar Islands,South Andaman,Ferrarganj,92.6531,11.7175,2023,8.09,1004,0,494,89,0.52,0,3,0.00,300,34,52,104,12,0.13,-,-
37,Andaman & Nicobar Islands,South Andaman,Garacharma,92.7095,11.6137,2023,8.00,695,0,299,60,0.15,29,0,0.00,250,42,35,37,3,0.31,-,-
38,Jammu & Kashmir,Baramulla,Binner,74.3553,34.2319,2023,7.46,520,0,331,7,0.18,9,5,0.00,246,60,23,20,1,0.44,5.76,0.01
39,Jammu & Kashmir,Baramulla,Jambazpora,74.3633,34.2192,2023,7.33,687,0,397,25,0.41,15,4,0.00,307,91,18,31,1,-0.01,0.83,0.51
40,Jammu & Kashmir,Baramulla,Uplna,74.3975,34.2008,2023,7.31,1290,0,546,65,0.34,51,139,0.00,569,185,27,55,14,-0.02,0.54,1.79
41,Jammu & Kashmir,Baramulla,Lolipora,74.5364,34.2164,2023,7.06,1655,0,419,274,0.33,126,25,0.00,663,199,41,109,5,-0.01,0.41,4.07
42,Jammu & Kashmir,Baramulla,Hadipora,74.3908,34.2914,2023,6.75,826,0,196,112,0.16,48,37,0.00,318,96,19,43,2,-0.02,0.56,0.25
43,Jammu & Kashmir,Baramulla,Mazbugh,74.4294,34.2781,2023,7.02,863,0,510,35,0.18,20,6,0.00,420,127,26,33,3,0.01,1.65,2.05
44,Jammu & Kashmir,Baramulla,Said Pora,74.4631,34.3211,2023,7.03,468,0,231,28,0.10,19,4,0.00,220,64,15,13,1,-0.02,0.16,0.28
45,Jammu & Kashmir,Baramulla,Bomai,74.4213,34.3564,2023,6.78,594,0,395,8,0.22,4,3,0.00,285,81,21,18,4,25.28,51.37,0.23
46,Jammu & Kashmir,Baramulla,Badran,74.5764,34.0931,2023,7.13,346,0,210,8,0.16,9,3,0.00,171,54,9,8,1,1.84,0.13,0.17
47,Jammu & Kashmir,Baramulla,Waripora,74.5611,34.0906,2023,7.60,652,0,389,28,0.36,11,3,0.00,322,112,11,15,2,6.59,0.39,1.12
48,Jammu & Kashmir,Handwara,Hampora,74.3272,34.3564,2023,7.18,612,0,425,5,0.12,5,6,0.84,312,91,22,19,1,-0.03,6.87,0.01
49,Jammu & Kashmir,Jammu,Chowki Chora,74.6515,33.0224,2023,7.27,490,0,261,20,0.23,39,6,0.37,222,75,9,21,10,-0.04,2.55,1.29
50,Jammu & Kashmir,Jammu,Gura (Akhnoor),74.7080,32.8813,2023,7.13,1340,0,777,82,0.45,20,5,2.11,627,146,65,51,16,0.12,1.04,0.11
51,Bihar,Araria,Araria,87.4609,26.1432,2023,7.91,522,0,195,46,0.09,13,29,0.00,200,36,27,24,6,-,-,8.53
52,Bihar,Araria,Paikapar,87.1504,26.0653,2023,7.63,596,0,201,71,0.70,17,18,0.11,260,60,27,16,1,-,-,9.68
53,Bihar,Araria,Bathnaha 1,87.1497,26.0693,2023,7.84,199,0,85,11,0.13,9,6,0.00,80,14,11,5,5,-,-,0.21
54,Bihar,Araria,Haripur,87.2315,26.2315,2023,7.54,350,0,159,18,0.13,9,9,0.00,155,36,16,9,1,-,-,6.54
55,Bihar,Araria,Matiyari,87.2510,26.3206,2023,7.89,826,0,262,96,0.85,38,27,0.19,270,58,30,53,19,-,-,0.00
56,Bihar,Araria,Jokihat,87.6559,26.1612,2023,7.91,1004,0,403,89,0.29,39,5,0.00,320,64,39,71,24,-,-,0.00
57,Bihar,Araria,Palasi,87.2240,26.3228,2023,7.92,259,0,92,28,0.34,11,1,0.00,125,40,6,1,2,-,-,3.05
58,Bihar,Araria,Raniganj,87.2321,26.0949,2023,7.72,559,0,214,46,0.12,17,28,0.15,240,62,21,15,5,-,-,0.62
59,Bihar,Araria,Sikti,87.5479,26.4064,2023,7.81,389,0,140,46,0.32,13,1,0.00,135,36,11,25,2,-,-,0.21
60,Bihar,Arwal,Arwal,84.6668,25.2495,2023,7.65,1031,0,329,121,0.65,43,32,0.19,370,90,35,55,22,-,-,0.00
61,Bihar,Arwal,Dirpal Bigha,84.7032,25.2943,2023,7.81,488,0,183,28,0.69,12,50,0.13,200,50,18,19,1,-,-,0.00
62,Bihar,Arwal,Imamganj,84.7489,25.2152,2023,7.93,678,0,287,43,0.61,30,11,0.21,280,64,29,22,10,-,-,0.91
63,Bihar,Arwal,Madhubani,84.6045,25.1904,2023,7.97,266,0,104,21,0.43,15,0,0.00,125,30,12,4,1,-,-,9.81
64,Bihar,Arwal,Kaler,84.5002,25.1172,2023,7.78,603,0,232,53,0.50,33,4,0.15,260,88,10,13,9,-,-,0.00
65,Bihar,Arwal,Bairbigha,84.7151,25.1535,2023,7.82,657,0,262,53,0.36,28,13,0.00,220,50,23,47,3,-,-,5.61
66,Bihar,Arwal,Kinjer,84.8291,25.2168,2023,7.89,405,0,183,28,0.39,10,5,0.00,175,60,6,11,1,-,-,12.65
67,Bihar,Arwal,Kurtha,84.8089,25.1247,2023,7.96,739,0,348,43,0.54,18,3,0.23,265,68,23,47,4,-,-,0.00
68,Bihar,Arwal,Jhunathi,84.8853,25.2114,2023,8.11,648,0,281,43,0.60,29,0,0.14,250,58,26,34,1,-,-,6.13
69,Bihar,Arwal,Bansi Surajpur,84.7324,25.1146,2023,8.03,1616,0,549,206,0.74,64,3,0.00,560,40,112,109,8,-,-,11.54
70,Bihar,Aurangabad,Aurangabad,84.3845,24.7462,2023,7.85,2614,0,848,366,0.75,67,30,0.00,880,138,130,175,40,-,-,26.71
71,Bihar,Aurangabad,Parnawa,84.3445,24.8407,2023,7.84,586,0,220,50,0.72,24,20,0.11,245,72,16,21,1,-,-,6.58
72,Bihar,Aurangabad,Barun,84.2128,24.8685,2023,8.05,485,0,195,39,0.68,22,6,0.00,205,18,39,16,1,-,-,4.61
